月份,星期一,星期二,星期三,星期四,星期五,星期六,,星期天,
10,,,1,2,3,4,,5,
,,,,,,,,,
,6,7,8,9,10,11,,12,
,,,,,,,,,
,13,14,15,16,17,18,,19,
,,,,,"20:00-21:30中国电信天翼云",,,"14:00-16:00陕西移动",
,20,21,22,23,24,25,,26,
,,,,,管网笔试面试,"9:00-11:00中国电信10:00-12:00咪咕杯技术大赛","14:00-16:00
中国移动集团
","14:00-16:00
中国移动九天
（放弃）","14:30-16:30中国邮政储蓄银行"
,27,28,29,30,31,1,,2,
11,20:00-20:30邮储总行AI,,,,,,,"14:00-16:00
中国工商银行（放弃）","14:30-17:00
农发行"
,3,4,5,6,7,8,,9,
,,,,,,,,,
,10,11,12,13,14,15,,16,
,,,,,,,,,
,17,18,19,20,21,22,,23,
,,,,,,,,,
,24,25,26,27,28,29,,30,
,,,,,,,,,
12,1,2,3,4,5,6,,7,
,,,,,,,,,
,8,9,10,11,12,13,,14,
,,,,,,,,,
,15,16,17,18,19,20,,21,
,,,,,,,,,
,22,23,24,25,26,27,,28,
,,,,,,,,,
,29,30,,,,,,,
,,,,,,,,,
